f: 1    g: 0    h: 1    IIB...C.BHHHC.AAD.....D.EEGGGF.....F
f: 11   g: 8    h: 3    .II......HHHAAB.DF..B.DFCEEGGGC.....
f: 11   g: 8    h: 3    ....II..BHHHAAB.DF....DFCEEGGGC.....
f: 11   g: 8    h: 3    ...II...BHHHAAB.DF....DFCEEGGGC.....
f: 11   g: 8    h: 3    ..II....BHHHAAB.DF....DFCEEGGGC.....
f: 11   g: 8    h: 3    .II.....BHHHAAB.DF....DFCEEGGGC.....
f: 11   g: 8    h: 3    II......HHH.AAB.DFC.B.DFCEEGGG......
f: 11   g: 8    h: 3    II.....HHH..AAB.DFC.B.DFCEEGGG......
f: 11   g: 8    h: 3    II....HHH...AAB.DFC.B.DFCEEGGG......
f: 11   g: 8    h: 3    ....II...HHHAAB.DFC.B.DFCEEGGG......
f: 11   g: 8    h: 3    ...II....HHHAAB.DFC.B.DFCEEGGG......
f: 11   g: 8    h: 3    ..II.....HHHAAB.DFC.B.DFCEEGGG......
f: 11   g: 8    h: 3    .II......HHHAAB.DFC.B.DFCEEGGG......
f: 11   g: 8    h: 3    ....II..BHHHAAB.DFC...DFCEEGGG......
f: 11   g: 8    h: 3    ...II...BHHHAAB.DFC...DFCEEGGG......
f: 11   g: 8    h: 3    ..II....BHHHAAB.DFC...DFCEEGGG......
f: 11   g: 8    h: 3    .II.....BHHHAAB.DFC...DFCEEGGG......
f: 11   g: 8    h: 3    II......HHHFAAB.DF..B.D.CEEGGGC.....
f: 11   g: 8    h: 3    ....II..HHH.AAB.DF..B.DFCEEGGGC.....
f: 11   g: 8    h: 3    ...II...HHH.AAB.DF..B.DFCEEGGGC.....
f: 11   g: 8    h: 3    ..II....HHH.AAB.DF..B.DFCEEGGGC.....
f: 11   g: 8    h: 3    .II.....HHH.AAB.DF..B.DFCEEGGGC.....
f: 11   g: 8    h: 3    II.....HHHD.AAB.DF..B..FCEEGGGC.....
f: 11   g: 8    h: 3    II.....HHH.FAAB.DF..B.D.CEEGGGC.....
f: 11   g: 8    h: 3    ....II.HHH..AAB.DF..B.DFCEEGGGC.....
f: 11   g: 8    h: 3    ...II..HHH..AAB.DF..B.DFCEEGGGC.....
f: 11   g: 8    h: 3    ..II...HHH..AAB.DF..B.DFCEEGGGC.....
f: 11   g: 8    h: 3    .II....HHH..AAB.DF..B.DFCEEGGGC.....
f: 11   g: 8    h: 3    II....HHH.D.AAB.DF..B..FCEEGGGC.....
f: 11   g: 8    h: 3    II....HHH..FAAB.DF..B.D.CEEGGGC.....
f: 11   g: 8    h: 3    ....IIHHH...AAB.DF..B.DFCEEGGGC.....
f: 11   g: 8    h: 3    ...II.HHH...AAB.DF..B.DFCEEGGGC.....
f: 11   g: 8    h: 3    ..II..HHH...AAB.DF..B.DFCEEGGGC.....
f: 11   g: 8    h: 3    .II...HHH...AAB.DF..B.DFCEEGGGC.....
f: 11   g: 8    h: 3    II......HHHFAAB.DFC.B.D.CEEGGG......
f: 11   g: 8    h: 3    ....II..HHH.AAB.DFC.B.DFCEEGGG......
f: 11   g: 8    h: 3    ...II...HHH.AAB.DFC.B.DFCEEGGG......
f: 11   g: 8    h: 3    ..II....HHH.AAB.DFC.B.DFCEEGGG......
f: 11   g: 8    h: 3    .II.....HHH.AAB.DFC.B.DFCEEGGG......
f: 11   g: 8    h: 3    II.....HHHD.AAB.DFC.B..FCEEGGG......
f: 11   g: 8    h: 3    II.....HHH.FAAB.DFC.B.D.CEEGGG......
f: 11   g: 8    h: 3    ....II.HHH..AAB.DFC.B.DFCEEGGG......
f: 11   g: 8    h: 3    ...II..HHH..AAB.DFC.B.DFCEEGGG......
f: 11   g: 8    h: 3    ..II...HHH..AAB.DFC.B.DFCEEGGG......
f: 11   g: 8    h: 3    .II....HHH..AAB.DFC.B.DFCEEGGG......
f: 11   g: 8    h: 3    II....HHH.D.AAB.DFC.B..FCEEGGG......
f: 11   g: 8    h: 3    II....HHH..FAAB.DFC.B.D.CEEGGG......
f: 11   g: 8    h: 3    ....IIHHH...AAB.DFC.B.DFCEEGGG......
f: 11   g: 8    h: 3    ...II.HHH...AAB.DFC.B.DFCEEGGG......
f: 11   g: 8    h: 3    ..II..HHH...AAB.DFC.B.DFCEEGGG......
f: 11   g: 8    h: 3    .II...HHH...AAB.DFC.B.DFCEEGGG......
f: 11   g: 9    h: 2    II...F..HHHFAAB.D.C.B.D.CEEGGG......
f: 11   g: 9    h: 2    II...F.HHH.FAAB.D...B.D.CEEGGGC.....
f: 11   g: 9    h: 2    II...FHHH..FAAB.D...B.D.CEEGGGC.....
f: 11   g: 9    h: 2    ...IIF..HHHFAAB.D...B.D.CEEGGGC.....
f: 11   g: 9    h: 2    ..II.F..HHHFAAB.D...B.D.CEEGGGC.....
f: 11   g: 9    h: 2    .II..F..HHHFAAB.D...B.D.CEEGGGC.....
f: 11   g: 9    h: 2    II..D..HHHD.AAB..FC.B..FCEEGGG......
f: 11   g: 9    h: 2    II..D.HHH.D.AAB..F..B..FCEEGGGC.....
f: 11   g: 9    h: 2    II..D..HHHDFAAB..F..B...CEEGGGC.....
f: 11   g: 9    h: 2    ..IID..HHHD.AAB..F..B..FCEEGGGC.....
f: 11   g: 9    h: 2    .II.D..HHHD.AAB..F..B..FCEEGGGC.....
f: 11   g: 9    h: 2    II...F.HHH.FAAB.D.C.B.D.CEEGGG......
f: 11   g: 9    h: 2    II...F.HHHDFAAB.D...B...CEEGGGC.....
f: 11   g: 9    h: 2    ...IIF.HHH.FAAB.D...B.D.CEEGGGC.....
f: 11   g: 9    h: 2    ..II.F.HHH.FAAB.D...B.D.CEEGGGC.....
f: 11   g: 9    h: 2    .II..F.HHH.FAAB.D...B.D.CEEGGGC.....
f: 11   g: 9    h: 2    II..D.HHH.D.AAB..FC.B..FCEEGGG......
f: 11   g: 9    h: 2    II..D.HHH.DFAAB..F..B...CEEGGGC.....
f: 11   g: 9    h: 2    ..IID.HHH.D.AAB..F..B..FCEEGGGC.....
f: 11   g: 9    h: 2    .II.D.HHH.D.AAB..F..B..FCEEGGGC.....
f: 11   g: 9    h: 2    II...FHHH..FAAB.D.C.B.D.CEEGGG......
f: 11   g: 9    h: 2    II...FHHH.DFAAB.D...B...CEEGGGC.....
f: 11   g: 9    h: 2    ...IIFHHH..FAAB.D...B.D.CEEGGGC.....
f: 11   g: 9    h: 2    ..II.FHHH..FAAB.D...B.D.CEEGGGC.....
f: 11   g: 9    h: 2    .II..FHHH..FAAB.D...B.D.CEEGGGC.....
f: 11   g: 9    h: 2    ..B.II..BHHHAA..DFC...DFCEEGGG......
f: 11   g: 9    h: 2    ..B.II..BHHH..AADF....DFCEEGGGC.....
f: 11   g: 9    h: 2    ..B.II..BHHH.AA.DF....DFCEEGGGC.....
f: 11   g: 9    h: 2    ..BII...BHHHAA..DF....DFCEEGGGC.....
f: 11   g: 9    h: 2    ..BII...BHHHAA..DFC...DFCEEGGG......
f: 11   g: 9    h: 2    ..BII...BHHH..AADF....DFCEEGGGC.....
f: 11   g: 9    h: 2    ..BII...BHHH.AA.DF....DFCEEGGGC.....
f: 11   g: 9    h: 2    ...IIF..HHHFAAB.D.C.B.D.CEEGGG......
f: 11   g: 9    h: 2    ..II.F..HHHFAAB.D.C.B.D.CEEGGG......
f: 11   g: 9    h: 2    .II..F..HHHFAAB.D.C.B.D.CEEGGG......
f: 11   g: 9    h: 2    II..D..HHHDFAAB..FC.B...CEEGGG......
f: 11   g: 9    h: 2    ..IID..HHHD.AAB..FC.B..FCEEGGG......
f: 11   g: 9    h: 2    .II.D..HHHD.AAB..FC.B..FCEEGGG......
f: 11   g: 9    h: 2    II...F.HHHDFAAB.D.C.B...CEEGGG......
f: 11   g: 9    h: 2    ...IIF.HHH.FAAB.D.C.B.D.CEEGGG......
f: 11   g: 9    h: 2    ..II.F.HHH.FAAB.D.C.B.D.CEEGGG......
f: 11   g: 9    h: 2    .II..F.HHH.FAAB.D.C.B.D.CEEGGG......
f: 11   g: 9    h: 2    II..D.HHH.DFAAB..FC.B...CEEGGG......
f: 11   g: 9    h: 2    ..IID.HHH.D.AAB..FC.B..FCEEGGG......
f: 11   g: 9    h: 2    .II.D.HHH.D.AAB..FC.B..FCEEGGG......
f: 11   g: 9    h: 2    II...FHHH.DFAAB.D.C.B...CEEGGG......
f: 11   g: 9    h: 2    ...IIFHHH..FAAB.D.C.B.D.CEEGGG......
f: 11   g: 9    h: 2    ..II.FHHH..FAAB.D.C.B.D.CEEGGG......
f: 11   g: 9    h: 2    .II..FHHH..FAAB.D.C.B.D.CEEGGG......
f: 11   g: 9    h: 2    ..B.II..BHHH..AADFC...DFCEEGGG......
f: 11   g: 9    h: 2    ..B.II..BHHH.AA.DFC...DFCEEGGG......
f: 11   g: 9    h: 2    ..BII...BHHH..AADFC...DFCEEGGG......
f: 11   g: 9    h: 2    ..BII...BHHH.AA.DFC...DFCEEGGG......
f: 11   g: 10   h: 1    II..DF.HHHDFAAB...C.B...CEEGGG......
f: 11   g: 10   h: 1    II..DFHHH.DFAAB.....B...CEEGGGC.....
f: 11   g: 10   h: 1    ..IIDF.HHHDFAAB.....B...CEEGGGC.....
f: 11   g: 10   h: 1    .II.DF.HHHDFAAB.....B...CEEGGGC.....
f: 11   g: 10   h: 1    II..DFHHH.DFAAB...C.B...CEEGGG......
f: 11   g: 10   h: 1    ..IIDFHHH.DFAAB.....B...CEEGGGC.....
f: 11   g: 10   h: 1    .II.DFHHH.DFAAB.....B...CEEGGGC.....
f: 11   g: 10   h: 1    ..IIDF.HHHDFAAB...C.B...CEEGGG......
f: 11   g: 10   h: 1    .II.DF.HHHDFAAB...C.B...CEEGGG......
f: 11   g: 10   h: 1    ..IIDFHHH.DFAAB...C.B...CEEGGG......
f: 11   g: 10   h: 1    .II.DFHHH.DFAAB...C.B...CEEGGG......
f: 12   g: 9    h: 3    II......HHHFAAB.DF..B.D.CEEGGGC.....
f: 12   g: 9    h: 3    II.....HHHD.AAB.DF..B..FCEEGGGC.....
f: 12   g: 9    h: 3    II.....HHH.FAAB.DF..B.D.CEEGGGC.....
f: 12   g: 9    h: 3    II....HHH.D.AAB.DF..B..FCEEGGGC.....
f: 12   g: 9    h: 3    II....HHH..FAAB.DF..B.D.CEEGGGC.....
f: 12   g: 9    h: 3    II......HHHFAAB.DFC.B.D.CEEGGG......
f: 12   g: 9    h: 3    II.....HHHD.AAB.DFC.B..FCEEGGG......
f: 12   g: 9    h: 3    II.....HHH.FAAB.DFC.B.D.CEEGGG......
f: 12   g: 9    h: 3    II....HHH.D.AAB.DFC.B..FCEEGGG......
f: 12   g: 9    h: 3    II....HHH..FAAB.DFC.B.D.CEEGGG......
f: 12   g: 10   h: 2    II...F.HHHDFAAB.D...B...CEEGGGC.....
f: 12   g: 10   h: 2    II..D..HHHDFAAB..F..B...CEEGGGC.....
f: 12   g: 10   h: 2    II...FHHH.DFAAB.D...B...CEEGGGC.....
f: 12   g: 10   h: 2    II..D.HHH.DFAAB..F..B...CEEGGGC.....
f: 12   g: 10   h: 2    II...F.HHHDFAAB.D.C.B...CEEGGG......
f: 12   g: 10   h: 2    II..D..HHHDFAAB..FC.B...CEEGGG......
f: 12   g: 10   h: 2    II...FHHH.DFAAB.D.C.B...CEEGGG......
f: 12   g: 10   h: 2    II..D.HHH.DFAAB..FC.B...CEEGGG......
f: 12   g: 9    h: 3    ....II..HHH.AAB.DF..B.DFCEEGGGC.....
f: 12   g: 9    h: 3    ...II...HHH.AAB.DF..B.DFCEEGGGC.....
f: 12   g: 9    h: 3    ..II....HHH.AAB.DF..B.DFCEEGGGC.....
f: 12   g: 9    h: 3    .II.....HHH.AAB.DF..B.DFCEEGGGC.....
f: 12   g: 9    h: 3    ....II.HHH..AAB.DF..B.DFCEEGGGC.....
f: 12   g: 9    h: 3    ...II..HHH..AAB.DF..B.DFCEEGGGC.....
f: 12   g: 9    h: 3    ..II...HHH..AAB.DF..B.DFCEEGGGC.....
f: 12   g: 9    h: 3    .II....HHH..AAB.DF..B.DFCEEGGGC.....
f: 12   g: 9    h: 3    ....IIHHH...AAB.DF..B.DFCEEGGGC.....
f: 12   g: 9    h: 3    ...II.HHH...AAB.DF..B.DFCEEGGGC.....
f: 12   g: 9    h: 3    ..II..HHH...AAB.DF..B.DFCEEGGGC.....
f: 12   g: 9    h: 3    .II...HHH...AAB.DF..B.DFCEEGGGC.....
f: 12   g: 9    h: 3    ....II..HHH.AAB.DFC.B.DFCEEGGG......
f: 12   g: 9    h: 3    ...II...HHH.AAB.DFC.B.DFCEEGGG......
f: 12   g: 9    h: 3    ..II....HHH.AAB.DFC.B.DFCEEGGG......
f: 12   g: 9    h: 3    .II.....HHH.AAB.DFC.B.DFCEEGGG......
f: 12   g: 9    h: 3    ....II.HHH..AAB.DFC.B.DFCEEGGG......
f: 12   g: 9    h: 3    ...II..HHH..AAB.DFC.B.DFCEEGGG......
f: 12   g: 9    h: 3    ..II...HHH..AAB.DFC.B.DFCEEGGG......
f: 12   g: 9    h: 3    .II....HHH..AAB.DFC.B.DFCEEGGG......
f: 12   g: 9    h: 3    ....IIHHH...AAB.DFC.B.DFCEEGGG......
f: 12   g: 9    h: 3    ...II.HHH...AAB.DFC.B.DFCEEGGG......
f: 12   g: 9    h: 3    ..II..HHH...AAB.DFC.B.DFCEEGGG......
f: 12   g: 9    h: 3    .II...HHH...AAB.DFC.B.DFCEEGGG......
f: 12   g: 9    h: 3    ....II..HHHFAAB.DF..B.D.CEEGGGC.....
f: 12   g: 9    h: 3    ...II...HHHFAAB.DF..B.D.CEEGGGC.....
f: 12   g: 9    h: 3    ..II....HHHFAAB.DF..B.D.CEEGGGC.....
f: 12   g: 9    h: 3    .II.....HHHFAAB.DF..B.D.CEEGGGC.....
f: 12   g: 9    h: 3    II.....HHHDFAAB.DF..B...CEEGGGC.....
f: 12   g: 9    h: 3    ....II.HHHD.AAB.DF..B..FCEEGGGC.....
f: 12   g: 9    h: 3    ...II..HHHD.AAB.DF..B..FCEEGGGC.....
f: 12   g: 9    h: 3    ..II...HHHD.AAB.DF..B..FCEEGGGC.....
f: 12   g: 9    h: 3    .II....HHHD.AAB.DF..B..FCEEGGGC.....
f: 12   g: 9    h: 3    ....II.HHH.FAAB.DF..B.D.CEEGGGC.....
f: 12   g: 9    h: 3    ...II..HHH.FAAB.DF..B.D.CEEGGGC.....
f: 12   g: 9    h: 3    ..II...HHH.FAAB.DF..B.D.CEEGGGC.....
f: 12   g: 9    h: 3    .II....HHH.FAAB.DF..B.D.CEEGGGC.....
f: 12   g: 9    h: 3    II....HHH.DFAAB.DF..B...CEEGGGC.....
f: 12   g: 9    h: 3    ....IIHHH.D.AAB.DF..B..FCEEGGGC.....
f: 12   g: 9    h: 3    ...II.HHH.D.AAB.DF..B..FCEEGGGC.....
f: 12   g: 9    h: 3    ..II..HHH.D.AAB.DF..B..FCEEGGGC.....
f: 12   g: 9    h: 3    .II...HHH.D.AAB.DF..B..FCEEGGGC.....
f: 12   g: 9    h: 3    ....IIHHH..FAAB.DF..B.D.CEEGGGC.....
f: 12   g: 9    h: 3    ...II.HHH..FAAB.DF..B.D.CEEGGGC.....
f: 12   g: 9    h: 3    ..II..HHH..FAAB.DF..B.D.CEEGGGC.....
f: 12   g: 9    h: 3    .II...HHH..FAAB.DF..B.D.CEEGGGC.....
f: 12   g: 9    h: 3    ....II..HHHFAAB.DFC.B.D.CEEGGG......
f: 12   g: 9    h: 3    ...II...HHHFAAB.DFC.B.D.CEEGGG......
f: 12   g: 9    h: 3    ..II....HHHFAAB.DFC.B.D.CEEGGG......
f: 12   g: 9    h: 3    .II.....HHHFAAB.DFC.B.D.CEEGGG......
f: 12   g: 9    h: 3    II.....HHHDFAAB.DFC.B...CEEGGG......
f: 12   g: 9    h: 3    ....II.HHHD.AAB.DFC.B..FCEEGGG......
f: 12   g: 9    h: 3    ...II..HHHD.AAB.DFC.B..FCEEGGG......
f: 12   g: 9    h: 3    ..II...HHHD.AAB.DFC.B..FCEEGGG......
f: 12   g: 9    h: 3    .II....HHHD.AAB.DFC.B..FCEEGGG......
f: 12   g: 9    h: 3    ....II.HHH.FAAB.DFC.B.D.CEEGGG......
f: 12   g: 9    h: 3    ...II..HHH.FAAB.DFC.B.D.CEEGGG......
f: 12   g: 9    h: 3    ..II...HHH.FAAB.DFC.B.D.CEEGGG......
f: 12   g: 9    h: 3    .II....HHH.FAAB.DFC.B.D.CEEGGG......
f: 12   g: 9    h: 3    II....HHH.DFAAB.DFC.B...CEEGGG......
f: 12   g: 9    h: 3    ....IIHHH.D.AAB.DFC.B..FCEEGGG......
f: 12   g: 9    h: 3    ...II.HHH.D.AAB.DFC.B..FCEEGGG......
f: 12   g: 9    h: 3    ..II..HHH.D.AAB.DFC.B..FCEEGGG......
f: 12   g: 9    h: 3    .II...HHH.D.AAB.DFC.B..FCEEGGG......
f: 12   g: 9    h: 3    ....IIHHH..FAAB.DFC.B.D.CEEGGG......
f: 12   g: 9    h: 3    ...II.HHH..FAAB.DFC.B.D.CEEGGG......
f: 12   g: 9    h: 3    ..II..HHH..FAAB.DFC.B.D.CEEGGG......
f: 12   g: 9    h: 3    .II...HHH..FAAB.DFC.B.D.CEEGGG......
f: 12   g: 10   h: 2    ...IIF..HHHFAAB.D.C.B.D.CEEGGG......
f: 12   g: 10   h: 2    ..II.F..HHHFAAB.D.C.B.D.CEEGGG......
f: 12   g: 10   h: 2    .II..F..HHHFAAB.D.C.B.D.CEEGGG......
f: 12   g: 10   h: 2    ...IIF.HHH.FAAB.D...B.D.CEEGGGC.....
f: 12   g: 10   h: 2    ..II.F.HHH.FAAB.D...B.D.CEEGGGC.....
f: 12   g: 10   h: 2    .II..F.HHH.FAAB.D...B.D.CEEGGGC.....
f: 12   g: 10   h: 2    ...IIFHHH..FAAB.D...B.D.CEEGGGC.....
f: 12   g: 10   h: 2    ..II.FHHH..FAAB.D...B.D.CEEGGGC.....
f: 12   g: 10   h: 2    .II..FHHH..FAAB.D...B.D.CEEGGGC.....
f: 12   g: 10   h: 2    ..II.F..HHHFAAB.D...B.D.CEEGGGC.....
f: 12   g: 10   h: 2    .II..F..HHHFAAB.D...B.D.CEEGGGC.....
f: 12   g: 10   h: 2    ..IID..HHHD.AAB..FC.B..FCEEGGG......
f: 12   g: 10   h: 2    .II.D..HHHD.AAB..FC.B..FCEEGGG......
f: 12   g: 10   h: 2    ..IID.HHH.D.AAB..F..B..FCEEGGGC.....
f: 12   g: 10   h: 2    .II.D.HHH.D.AAB..F..B..FCEEGGGC.....
f: 12   g: 10   h: 2    ..IID..HHHDFAAB..F..B...CEEGGGC.....
f: 12   g: 10   h: 2    .II.D..HHHDFAAB..F..B...CEEGGGC.....
f: 12   g: 10   h: 2    .II.D..HHHD.AAB..F..B..FCEEGGGC.....
f: 12   g: 10   h: 2    ...IIF.HHH.FAAB.D.C.B.D.CEEGGG......
f: 12   g: 10   h: 2    ..II.F.HHH.FAAB.D.C.B.D.CEEGGG......
f: 12   g: 10   h: 2    .II..F.HHH.FAAB.D.C.B.D.CEEGGG......
f: 12   g: 10   h: 2    ...IIF.HHHDFAAB.D...B...CEEGGGC.....
f: 12   g: 10   h: 2    ..II.F.HHHDFAAB.D...B...CEEGGGC.....
f: 12   g: 10   h: 2    .II..F.HHHDFAAB.D...B...CEEGGGC.....
f: 12   g: 10   h: 2    ..IID.HHH.D.AAB..FC.B..FCEEGGG......
f: 12   g: 10   h: 2    .II.D.HHH.D.AAB..FC.B..FCEEGGG......
f: 12   g: 10   h: 2    ..IID.HHH.DFAAB..F..B...CEEGGGC.....
