f: 1.5  g: 0    h: 1.5  IJBBCCIJDDL.IJAAL.EEK.L...KFF..GGHH.
f: 6.5  g: 5    h: 1.5  ..BBCCIJDDL.IJAAL.IJEEL...KFF.GGKHH.
f: 6.5  g: 5    h: 1.5  .JBBCC.JDDL.IJAAL.IEE.L.I.KFF.GGKHH.
f: 6.5  g: 5    h: 1.5  .JBBCCIJDDL.IJAAL.IEE.L...KFF.GGKHH.
f: 6.5  g: 5    h: 1.5  .JBBCCIJDDL.IJAAL.I.EEL...KFF.GGKHH.
f: 7.5  g: 6    h: 1.5  I.BBCCIJDDL.IJAAL..JEEL...KFF.GGK.HH
f: 7.5  g: 6    h: 1.5  IBB.CCI.DDL.IJAAL..JEEL..JKFF.GGK.HH
f: 7.5  g: 6    h: 1.5  ..BBCC..DDL.IJAAL.IJEEL.IJKFF.GGK.HH
f: 7.5  g: 6    h: 1.5  ..BBCCI.DDL.IJAAL.IJEEL..JKFF.GGK.HH
f: 7.5  g: 6    h: 1.5  I.BBCCIDD.L.IJAAL..JEEL..JKFF.GGK.HH
f: 7.5  g: 6    h: 1.5  IBB.CCIJDDL.IJAAL..JEEL...KFF.GGK.HH
f: 7.5  g: 6    h: 1.5  ..BBCC.JDDL.IJAAL.IJEEL.I.KFF.GGK.HH
f: 7.5  g: 6    h: 1.5  ..BBCCIJDDL.IJAAL.IJEEL...KFF.GGK.HH
f: 7.5  g: 6    h: 1.5  .JBBCC.JDDL.IJAAL.IEE.L.I.KFF.GGK.HH
f: 7.5  g: 6    h: 1.5  .JBBCCIJDDL.IJAAL.IEE.L...KFF.GGK.HH
f: 7.5  g: 6    h: 1.5  .JBBCCIJDDL.IJAAL.I.EEL...KFF.GGK.HH
f: 7.5  g: 6    h: 1.5  IBB.CCIJDDL.IJAAL..JEEL...KFF.GGKHH.
f: 7.5  g: 6    h: 1.5  ..BBCC.JDDL.IJAAL.IJEEL.I.KFF.GGKHH.
f: 7.5  g: 6    h: 1.5  ..BBCCIJDDL.IJAAL.IJEEL...KFF.GGKHH.
f: 7.5  g: 6    h: 1.5  IBBCC.I.DDL.IJAAL..JEEL..JKFF.GGKHH.
f: 7.5  g: 6    h: 1.5  .BB.CC..DDL.IJAAL.IJEEL.IJKFF.GGKHH.
f: 7.5  g: 6    h: 1.5  .BB.CCI.DDL.IJAAL.IJEEL..JKFF.GGKHH.
f: 7.5  g: 6    h: 1.5  IBB.CCIDD.L.IJAAL..JEEL..JKFF.GGKHH.
f: 7.5  g: 6    h: 1.5  BB..CC..DDL.IJAAL.IJEEL.IJKFF.GGKHH.
f: 7.5  g: 6    h: 1.5  ..BBCCI.DDL.IJAAL.IJEEL..JKFF.GGKHH.
f: 7.5  g: 6    h: 1.5  ..BBCC.DD.L.IJAAL.IJEEL.IJKFF.GGKHH.
f: 7.5  g: 6    h: 1.5  ..BBCCDD..L.IJAAL.IJEEL.IJKFF.GGKHH.
f: 7.5  g: 6    h: 1.5  BB..CCI.DDL.IJAAL.IJEEL..JKFF.GGKHH.
f: 7.5  g: 6    h: 1.5  ..BBCCIDD.L.IJAAL.IJEEL..JKFF.GGKHH.
f: 7.5  g: 6    h: 1.5  IBBCC.IJDDL.IJAAL..JEEL...KFF.GGKHH.
f: 7.5  g: 6    h: 1.5  .BB.CC.JDDL.IJAAL.IJEEL.I.KFF.GGKHH.
f: 7.5  g: 6    h: 1.5  .BB.CCIJDDL.IJAAL.IJEEL...KFF.GGKHH.
f: 7.5  g: 6    h: 1.5  BB..CC.JDDL.IJAAL.IJEEL.I.KFF.GGKHH.
f: 7.5  g: 6    h: 1.5  BB..CCIJDDL.IJAAL.IJEEL...KFF.GGKHH.
f: 8.5  g: 7    h: 1.5  IBB.CCIJDDL.IJAAL..JEEL...KFF.GGK.HH
f: 8.5  g: 7    h: 1.5  ..BBCC.JDDL.IJAAL.IJEEL.I.KFF.GGK.HH
f: 8.5  g: 7    h: 1.5  ..BBCCIJDDL.IJAAL.IJEEL...KFF.GGK.HH
f: 8.5  g: 7    h: 1.5  IBBCC.I.DDL.IJAAL..JEEL..JKFF.GGK.HH
f: 8.5  g: 7    h: 1.5  .BB.CC..DDL.IJAAL.IJEEL.IJKFF.GGK.HH
f: 8.5  g: 7    h: 1.5  .BB.CCI.DDL.IJAAL.IJEEL..JKFF.GGK.HH
f: 8.5  g: 7    h: 1.5  IBB.CCIDD.L.IJAAL..JEEL..JKFF.GGK.HH
f: 8.5  g: 7    h: 1.5  BB..CC..DDL.IJAAL.IJEEL.IJKFF.GGK.HH
f: 8.5  g: 7    h: 1.5  ..BBCCI.DDL.IJAAL.IJEEL..JKFF.GGK.HH
f: 8.5  g: 7    h: 1.5  ..BBCC.DD.L.IJAAL.IJEEL.IJKFF.GGK.HH
f: 8.5  g: 7    h: 1.5  ..BBCCDD..L.IJAAL.IJEEL.IJKFF.GGK.HH
f: 8.5  g: 7    h: 1.5  BB..CCI.DDL.IJAAL.IJEEL..JKFF.GGK.HH
f: 8.5  g: 7    h: 1.5  ..BBCCIDD.L.IJAAL.IJEEL..JKFF.GGK.HH
f: 8.5  g: 7    h: 1.5  IBBCC.IJDDL.IJAAL..JEEL...KFF.GGK.HH
f: 8.5  g: 7    h: 1.5  .BB.CC.JDDL.IJAAL.IJEEL.I.KFF.GGK.HH
f: 8.5  g: 7    h: 1.5  .BB.CCIJDDL.IJAAL.IJEEL...KFF.GGK.HH
f: 8.5  g: 7    h: 1.5  BB..CC.JDDL.IJAAL.IJEEL.I.KFF.GGK.HH
f: 8.5  g: 7    h: 1.5  BB..CCIJDDL.IJAAL.IJEEL...KFF.GGK.HH
f: 8.5  g: 7    h: 1.5  IBBCC.IJDDL.IJAAL..JEEL...KFF.GGKHH.
f: 8.5  g: 7    h: 1.5  .BB.CC.JDDL.IJAAL.IJEEL.I.KFF.GGKHH.
f: 8.5  g: 7    h: 1.5  .BB.CCIJDDL.IJAAL.IJEEL...KFF.GGKHH.
f: 8.5  g: 7    h: 1.5  BB..CC.JDDL.IJAAL.IJEEL.I.KFF.GGKHH.
f: 8.5  g: 7    h: 1.5  BB..CCIJDDL.IJAAL.IJEEL...KFF.GGKHH.
f: 8.5  g: 7    h: 1.5  .BBCC...DDL.IJAAL.IJEEL.IJKFF.GGKHH.
f: 8.5  g: 7    h: 1.5  .BBCC.I.DDL.IJAAL.IJEEL..JKFF.GGKHH.
f: 8.5  g: 7    h: 1.5  IBBCC.IDD.L.IJAAL..JEEL..JKFF.GGKHH.
f: 8.5  g: 7    h: 1.5  BB..CC..DDL.IJAAL.IJEEL.IJKFF.GGKHH.
f: 8.5  g: 7    h: 1.5  .BB.CCI.DDL.IJAAL.IJEEL..JKFF.GGKHH.
f: 8.5  g: 7    h: 1.5  .BB.CC.DD.L.IJAAL.IJEEL.IJKFF.GGKHH.
f: 8.5  g: 7    h: 1.5  .BB.CCDD..L.IJAAL.IJEEL.IJKFF.GGKHH.
f: 8.5  g: 7    h: 1.5  BB..CCI.DDL.IJAAL.IJEEL..JKFF.GGKHH.
f: 8.5  g: 7    h: 1.5  .BB.CCIDD.L.IJAAL.IJEEL..JKFF.GGKHH.
f: 8.5  g: 7    h: 1.5  BB.CC...DDL.IJAAL.IJEEL.IJKFF.GGKHH.
f: 8.5  g: 7    h: 1.5  BBCC....DDL.IJAAL.IJEEL.IJKFF.GGKHH.
f: 8.5  g: 7    h: 1.5  BB..CC.DD.L.IJAAL.IJEEL.IJKFF.GGKHH.
f: 8.5  g: 7    h: 1.5  BB..CCDD..L.IJAAL.IJEEL.IJKFF.GGKHH.
f: 8.5  g: 7    h: 1.5  ..BBCCIDD.L.IJAAL.IJEEL..JKFF.GGKHH.
f: 8.5  g: 7    h: 1.5  ..BBCCDD..L.IJAAL.IJEEL.IJKFF.GGKHH.
f: 8.5  g: 7    h: 1.5  BB.CC.I.DDL.IJAAL.IJEEL..JKFF.GGKHH.
f: 8.5  g: 7    h: 1.5  BBCC..I.DDL.IJAAL.IJEEL..JKFF.GGKHH.
f: 8.5  g: 7    h: 1.5  BB..CCIDD.L.IJAAL.IJEEL..JKFF.GGKHH.
f: 8.5  g: 7    h: 1.5  .BBCC..JDDL.IJAAL.IJEEL.I.KFF.GGKHH.
f: 8.5  g: 7    h: 1.5  .BBCC.IJDDL.IJAAL.IJEEL...KFF.GGKHH.
f: 8.5  g: 7    h: 1.5  BB.CC..JDDL.IJAAL.IJEEL.I.KFF.GGKHH.
f: 8.5  g: 7    h: 1.5  BBCC...JDDL.IJAAL.IJEEL.I.KFF.GGKHH.
f: 8.5  g: 7    h: 1.5  BB.CC.IJDDL.IJAAL.IJEEL...KFF.GGKHH.
f: 8.5  g: 7    h: 1.5  BBCC..IJDDL.IJAAL.IJEEL...KFF.GGKHH.
f: 9.5  g: 8    h: 1.5  IBBCC.IJDDL.IJAAL..JEEL...KFF.GGK.HH
f: 9.5  g: 8    h: 1.5  .BB.CC.JDDL.IJAAL.IJEEL.I.KFF.GGK.HH
f: 9.5  g: 8    h: 1.5  .BB.CCIJDDL.IJAAL.IJEEL...KFF.GGK.HH
f: 9.5  g: 8    h: 1.5  BB..CC.JDDL.IJAAL.IJEEL.I.KFF.GGK.HH
f: 9.5  g: 8    h: 1.5  BB..CCIJDDL.IJAAL.IJEEL...KFF.GGK.HH
f: 9.5  g: 8    h: 1.5  .BBCC...DDL.IJAAL.IJEEL.IJKFF.GGK.HH
f: 9.5  g: 8    h: 1.5  .BBCC.I.DDL.IJAAL.IJEEL..JKFF.GGK.HH
f: 9.5  g: 8    h: 1.5  IBBCC.IDD.L.IJAAL..JEEL..JKFF.GGK.HH
f: 9.5  g: 8    h: 1.5  BB..CC..DDL.IJAAL.IJEEL.IJKFF.GGK.HH
f: 9.5  g: 8    h: 1.5  .BB.CCI.DDL.IJAAL.IJEEL..JKFF.GGK.HH
f: 9.5  g: 8    h: 1.5  .BB.CC.DD.L.IJAAL.IJEEL.IJKFF.GGK.HH
f: 9.5  g: 8    h: 1.5  .BB.CCDD..L.IJAAL.IJEEL.IJKFF.GGK.HH
f: 9.5  g: 8    h: 1.5  BB..CCI.DDL.IJAAL.IJEEL..JKFF.GGK.HH
f: 9.5  g: 8    h: 1.5  .BB.CCIDD.L.IJAAL.IJEEL..JKFF.GGK.HH
f: 9.5  g: 8    h: 1.5  BB.CC...DDL.IJAAL.IJEEL.IJKFF.GGK.HH
f: 9.5  g: 8    h: 1.5  BBCC....DDL.IJAAL.IJEEL.IJKFF.GGK.HH
f: 9.5  g: 8    h: 1.5  BB..CC.DD.L.IJAAL.IJEEL.IJKFF.GGK.HH
f: 9.5  g: 8    h: 1.5  BB..CCDD..L.IJAAL.IJEEL.IJKFF.GGK.HH
f: 9.5  g: 8    h: 1.5  ..BBCCIDD.L.IJAAL.IJEEL..JKFF.GGK.HH
f: 9.5  g: 8    h: 1.5  ..BBCCDD..L.IJAAL.IJEEL.IJKFF.GGK.HH
f: 9.5  g: 8    h: 1.5  BB.CC.I.DDL.IJAAL.IJEEL..JKFF.GGK.HH
f: 9.5  g: 8    h: 1.5  BBCC..I.DDL.IJAAL.IJEEL..JKFF.GGK.HH
f: 9.5  g: 8    h: 1.5  BB..CCIDD.L.IJAAL.IJEEL..JKFF.GGK.HH
f: 9.5  g: 8    h: 1.5  .BBCC..JDDL.IJAAL.IJEEL.I.KFF.GGK.HH
f: 9.5  g: 8    h: 1.5  .BBCC.IJDDL.IJAAL.IJEEL...KFF.GGK.HH
f: 9.5  g: 8    h: 1.5  BB.CC..JDDL.IJAAL.IJEEL.I.KFF.GGK.HH
f: 9.5  g: 8    h: 1.5  BBCC...JDDL.IJAAL.IJEEL.I.KFF.GGK.HH
f: 9.5  g: 8    h: 1.5  BB.CC.IJDDL.IJAAL.IJEEL...KFF.GGK.HH
f: 9.5  g: 8    h: 1.5  BBCC..IJDDL.IJAAL.IJEEL...KFF.GGK.HH
f: 9.5  g: 8    h: 1.5  .BBCC..JDDL.IJAAL.IJEEL.I.KFF.GGKHH.
f: 9.5  g: 8    h: 1.5  .BBCC.IJDDL.IJAAL.IJEEL...KFF.GGKHH.
f: 9.5  g: 8    h: 1.5  BB.CC..JDDL.IJAAL.IJEEL.I.KFF.GGKHH.
f: 9.5  g: 8    h: 1.5  BBCC...JDDL.IJAAL.IJEEL.I.KFF.GGKHH.
f: 9.5  g: 8    h: 1.5  BB.CC.IJDDL.IJAAL.IJEEL...KFF.GGKHH.
f: 9.5  g: 8    h: 1.5  BBCC..IJDDL.IJAAL.IJEEL...KFF.GGKHH.
f: 9.5  g: 8    h: 1.5  BB.CC...DDL.IJAAL.IJEEL.IJKFF.GGKHH.
f: 9.5  g: 8    h: 1.5  .BBCC.I.DDL.IJAAL.IJEEL..JKFF.GGKHH.
f: 9.5  g: 8    h: 1.5  .BBCC..DD.L.IJAAL.IJEEL.IJKFF.GGKHH.
f: 9.5  g: 8    h: 1.5  .BBCC.DD..L.IJAAL.IJEEL.IJKFF.GGKHH.
f: 9.5  g: 8    h: 1.5  BB.CC.I.DDL.IJAAL.IJEEL..JKFF.GGKHH.
f: 9.5  g: 8    h: 1.5  .BBCC.IDD.L.IJAAL.IJEEL..JKFF.GGKHH.
f: 9.5  g: 8    h: 1.5  BBCC....DDL.IJAAL.IJEEL.IJKFF.GGKHH.
f: 9.5  g: 8    h: 1.5  BB..CC.DD.L.IJAAL.IJEEL.IJKFF.GGKHH.
f: 9.5  g: 8    h: 1.5  BB..CCDD..L.IJAAL.IJEEL.IJKFF.GGKHH.
f: 9.5  g: 8    h: 1.5  .BB.CCIDD.L.IJAAL.IJEEL..JKFF.GGKHH.
f: 9.5  g: 8    h: 1.5  .BB.CCDD..L.IJAAL.IJEEL.IJKFF.GGKHH.
f: 9.5  g: 8    h: 1.5  BBCC..I.DDL.IJAAL.IJEEL..JKFF.GGKHH.
f: 9.5  g: 8    h: 1.5  BB..CCIDD.L.IJAAL.IJEEL..JKFF.GGKHH.
f: 9.5  g: 8    h: 1.5  BB.CC..DD.L.IJAAL.IJEEL.IJKFF.GGKHH.
f: 9.5  g: 8    h: 1.5  BB.CC.DD..L.IJAAL.IJEEL.IJKFF.GGKHH.
f: 9.5  g: 8    h: 1.5  BBCCL...DDL.IJAAL.IJEE..IJKFF.GGKHH.
f: 9.5  g: 8    h: 1.5  BBCC...DD.L.IJAAL.IJEEL.IJKFF.GGKHH.
f: 9.5  g: 8    h: 1.5  BBCC..DD..L.IJAAL.IJEEL.IJKFF.GGKHH.
f: 9.5  g: 8    h: 1.5  BB.CC.IDD.L.IJAAL.IJEEL..JKFF.GGKHH.
f: 9.5  g: 8    h: 1.5  BBCCL.I.DDL.IJAAL.IJEE...JKFF.GGKHH.
f: 9.5  g: 8    h: 1.5  BBCC..IDD.L.IJAAL.IJEEL..JKFF.GGKHH.
f: 9.5  g: 8    h: 1.5  BBCCL..JDDL.IJAAL.IJEE..I.KFF.GGKHH.
f: 9.5  g: 8    h: 1.5  BBCCL.IJDDL.IJAAL.IJEE....KFF.GGKHH.
f: 10.5 g: 9    h: 1.5  .BBCC..JDDL.IJAAL.IJEEL.I.KFF.GGK.HH
f: 10.5 g: 9    h: 1.5  .BBCC.IJDDL.IJAAL.IJEEL...KFF.GGK.HH
f: 10.5 g: 9    h: 1.5  BB.CC..JDDL.IJAAL.IJEEL.I.KFF.GGK.HH
f: 10.5 g: 9    h: 1.5  BBCC...JDDL.IJAAL.IJEEL.I.KFF.GGK.HH
f: 10.5 g: 9    h: 1.5  BB.CC.IJDDL.IJAAL.IJEEL...KFF.GGK.HH
f: 10.5 g: 9    h: 1.5  BBCC..IJDDL.IJAAL.IJEEL...KFF.GGK.HH
f: 10.5 g: 9    h: 1.5  BB.CC...DDL.IJAAL.IJEEL.IJKFF.GGK.HH
f: 10.5 g: 9    h: 1.5  .BBCC.I.DDL.IJAAL.IJEEL..JKFF.GGK.HH
f: 10.5 g: 9    h: 1.5  .BBCC..DD.L.IJAAL.IJEEL.IJKFF.GGK.HH
f: 10.5 g: 9    h: 1.5  .BBCC.DD..L.IJAAL.IJEEL.IJKFF.GGK.HH
f: 10.5 g: 9    h: 1.5  BB.CC.I.DDL.IJAAL.IJEEL..JKFF.GGK.HH
f: 10.5 g: 9    h: 1.5  .BBCC.IDD.L.IJAAL.IJEEL..JKFF.GGK.HH
f: 10.5 g: 9    h: 1.5  BBCC....DDL.IJAAL.IJEEL.IJKFF.GGK.HH
f: 10.5 g: 9    h: 1.5  BB..CC.DD.L.IJAAL.IJEEL.IJKFF.GGK.HH
f: 10.5 g: 9    h: 1.5  BB..CCDD..L.IJAAL.IJEEL.IJKFF.GGK.HH
f: 10.5 g: 9    h: 1.5  .BB.CCIDD.L.IJAAL.IJEEL..JKFF.GGK.HH
f: 10.5 g: 9    h: 1.5  .BB.CCDD..L.IJAAL.IJEEL.IJKFF.GGK.HH
f: 10.5 g: 9    h: 1.5  BBCC..I.DDL.IJAAL.IJEEL..JKFF.GGK.HH
f: 10.5 g: 9    h: 1.5  BB..CCIDD.L.IJAAL.IJEEL..JKFF.GGK.HH
f: 10.5 g: 9    h: 1.5  BB.CC..DD.L.IJAAL.IJEEL.IJKFF.GGK.HH
f: 10.5 g: 9    h: 1.5  BB.CC.DD..L.IJAAL.IJEEL.IJKFF.GGK.HH
f: 10.5 g: 9    h: 1.5  BBCCL...DDL.IJAAL.IJEE..IJKFF.GGK.HH
f: 10.5 g: 9    h: 1.5  BBCC...DD.L.IJAAL.IJEEL.IJKFF.GGK.HH
f: 10.5 g: 9    h: 1.5  BBCC..DD..L.IJAAL.IJEEL.IJKFF.GGK.HH
f: 10.5 g: 9    h: 1.5  BB.CC.IDD.L.IJAAL.IJEEL..JKFF.GGK.HH
f: 10.5 g: 9    h: 1.5  BBCCL.I.DDL.IJAAL.IJEE...JKFF.GGK.HH
f: 10.5 g: 9    h: 1.5  BBCC..IDD.L.IJAAL.IJEEL..JKFF.GGK.HH
f: 10.5 g: 9    h: 1.5  BBCCL..JDDL.IJAAL.IJEE..I.KFF.GGK.HH
f: 10.5 g: 9    h: 1.5  BBCCL.IJDDL.IJAAL.IJEE....KFF.GGK.HH
f: 10.5 g: 9    h: 1.5  BBCCL..JDDL.IJAAL.IJEE..I.KFF.GGKHH.
f: 10.5 g: 9    h: 1.5  BBCCL.IJDDL.IJAAL.IJEE....KFF.GGKHH.
f: 10.5 g: 9    h: 1.5  BB.CC..DD.L.IJAAL.IJEEL.IJKFF.GGKHH.
f: 10.5 g: 9    h: 1.5  BB.CC.DD..L.IJAAL.IJEEL.IJKFF.GGKHH.
f: 10.5 g: 9    h: 1.5  .BBCC.IDD.L.IJAAL.IJEEL..JKFF.GGKHH.
f: 10.5 g: 9    h: 1.5  .BBCC.DD..L.IJAAL.IJEEL.IJKFF.GGKHH.
f: 10.5 g: 9    h: 1.5  BB.CC.IDD.L.IJAAL.IJEEL..JKFF.GGKHH.
f: 10.5 g: 9    h: 1.5  BBCCL...DDL.IJAAL.IJEE..IJKFF.GGKHH.
f: 10.5 g: 9    h: 1.5  BBCC...DD.L.IJAAL.IJEEL.IJKFF.GGKHH.
f: 10.5 g: 9    h: 1.5  BBCC..DD..L.IJAAL.IJEEL.IJKFF.GGKHH.
f: 10.5 g: 9    h: 1.5  BBCCL.I.DDL.IJAAL.IJEE...JKFF.GGKHH.
f: 10.5 g: 9    h: 1.5  BBCC..IDD.L.IJAAL.IJEEL..JKFF.GGKHH.
f: 10.5 g: 9    h: 1.5  BBCCL...DDL.IJAAL.IJ..EEIJKFF.GGKHH.
f: 10.5 g: 9    h: 1.5  BBCCL...DDL.IJAAL.IJ.EE.IJKFF.GGKHH.
f: 10.5 g: 9    h: 1.5  BBCCL..DD.L.IJAAL.IJEE..IJKFF.GGKHH.
f: 10.5 g: 9    h: 1.5  BBCCL.DD..L.IJAAL.IJEE..IJKFF.GGKHH.
f: 10.5 g: 9    h: 1.5  BBCCL.I.DDL.IJAAL.IJ..EE.JKFF.GGKHH.
f: 10.5 g: 9    h: 1.5  BBCCL.I.DDL.IJAAL.IJ.EE..JKFF.GGKHH.
f: 10.5 g: 9    h: 1.5  BBCCL.IDD.L.IJAAL.IJEE...JKFF.GGKHH.
f: 10.5 g: 9    h: 1.5  BBCCL..JDDL.IJAAL.IJ..EEI.KFF.GGKHH.
f: 10.5 g: 9    h: 1.5  BBCCL..JDDL.IJAAL.IJ.EE.I.KFF.GGKHH.
f: 10.5 g: 9    h: 1.5  BBCCL.IJDDL.IJAAL.IJ..EE..KFF.GGKHH.
f: 10.5 g: 9    h: 1.5  BBCCL.IJDDL.IJAAL.IJ.EE...KFF.GGKHH.
f: 11.5 g: 10   h: 1.5  BBCCL..JDDL.IJAAL.IJEE..I.KFF.GGK.HH
f: 11.5 g: 10   h: 1.5  BBCCL.IJDDL.IJAAL.IJEE....KFF.GGK.HH
f: 11.5 g: 10   h: 1.5  BB.CC..DD.L.IJAAL.IJEEL.IJKFF.GGK.HH
f: 11.5 g: 10   h: 1.5  BB.CC.DD..L.IJAAL.IJEEL.IJKFF.GGK.HH
f: 11.5 g: 10   h: 1.5  .BBCC.IDD.L.IJAAL.IJEEL..JKFF.GGK.HH
f: 11.5 g: 10   h: 1.5  .BBCC.DD..L.IJAAL.IJEEL.IJKFF.GGK.HH
f: 11.5 g: 10   h: 1.5  BB.CC.IDD.L.IJAAL.IJEEL..JKFF.GGK.HH
f: 11.5 g: 10   h: 1.5  BBCCL...DDL.IJAAL.IJEE..IJKFF.GGK.HH
f: 11.5 g: 10   h: 1.5  BBCC...DD.L.IJAAL.IJEEL.IJKFF.GGK.HH
f: 11.5 g: 10   h: 1.5  BBCC..DD..L.IJAAL.IJEEL.IJKFF.GGK.HH
f: 11.5 g: 10   h: 1.5  BBCCL.I.DDL.IJAAL.IJEE...JKFF.GGK.HH
f: 11.5 g: 10   h: 1.5  BBCC..IDD.L.IJAAL.IJEEL..JKFF.GGK.HH
f: 11.5 g: 10   h: 1.5  BBCCL...DDL.IJAAL.IJ..EEIJKFF.GGK.HH
f: 11.5 g: 10   h: 1.5  BBCCL...DDL.IJAAL.IJ.EE.IJKFF.GGK.HH
f: 11.5 g: 10   h: 1.5  BBCCL..DD.L.IJAAL.IJEE..IJKFF.GGK.HH
f: 11.5 g: 10   h: 1.5  BBCCL.DD..L.IJAAL.IJEE..IJKFF.GGK.HH
f: 11.5 g: 10   h: 1.5  BBCCL.I.DDL.IJAAL.IJ..EE.JKFF.GGK.HH
f: 11.5 g: 10   h: 1.5  BBCCL.I.DDL.IJAAL.IJ.EE..JKFF.GGK.HH
f: 11.5 g: 10   h: 1.5  BBCCL.IDD.L.IJAAL.IJEE...JKFF.GGK.HH
f: 11.5 g: 10   h: 1.5  BBCCL..JDDL.IJAAL.IJ..EEI.KFF.GGK.HH
f: 11.5 g: 10   h: 1.5  BBCCL..JDDL.IJAAL.IJ.EE.I.KFF.GGK.HH
f: 11.5 g: 10   h: 1.5  BBCCL.IJDDL.IJAAL.IJ..EE..KFF.GGK.HH
f: 11.5 g: 10   h: 1.5  BBCCL.IJDDL.IJAAL.IJ.EE...KFF.GGK.HH
f: 11.5 g: 10   h: 1.5  BBCCL..JDDL.IJAAL.IJ..EEI.KFF.GGKHH.
f: 11.5 g: 10   h: 1.5  BBCCL..JDDL.IJAAL.IJ.EE.I.KFF.GGKHH.
f: 11.5 g: 10   h: 1.5  BBCCL.IJDDL.IJAAL.IJ..EE..KFF.GGKHH.
f: 11.5 g: 10   h: 1.5  BBCCL.IJDDL.IJAAL.IJ.EE...KFF.GGKHH.
f: 11.5 g: 10   h: 1.5  BBCCL...DDL.IJAAL.IJ..EEIJKFF.GGKHH.
f: 11.5 g: 10   h: 1.5  BBCCL...DDL.IJAAL.IJ.EE.IJKFF.GGKHH.
f: 11.5 g: 10   h: 1.5  BBCCL..DD.L.IJAAL.IJEE..IJKFF.GGKHH.
f: 11.5 g: 10   h: 1.5  BBCCL.DD..L.IJAAL.IJEE..IJKFF.GGKHH.
